                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.44763,                0.79801,                0.44246,                 1.0234,                0.85293,                0.81774,                0.86071,                0.68312,                0.85343,                0.81656,                0.87217,                0.66568,                 0.7392,                 1.8952,                 1.0359,                 1.3591,             0.00021044,             0.00021044,             0.00021044
                     70,                0.43972,                0.78882,                 0.4344,                 1.0146,                0.87608,                 0.7961,                0.86508,                 0.6738,                0.89782,                0.81249,                0.88196,                0.65659,                 0.8395,                 2.0859,                 1.1124,                 1.4547,             0.00020425,             0.00020425,             0.00020425
                     71,                0.44101,                0.79017,                0.43319,                 1.0188,                0.86916,                0.78424,                0.83922,                0.64824,                0.86916,                0.78424,                0.84415,                0.65884,                0.89069,                 1.8393,                 1.2484,                 1.5563,             0.00019806,             0.00019806,             0.00019806
                     72,                0.43618,                0.76717,                0.43333,                 1.0152,                0.82659,                0.80635,                0.83116,                0.65231,                0.87006,                0.82496,                0.86913,                0.65745,                0.86632,                 1.8513,                  1.251,                 1.5061,             0.00019188,             0.00019188,             0.00019188
                     73,                0.42182,                0.74657,                 0.4132,                 1.0041,                0.90415,                0.79258,                0.86437,                0.67343,                0.91414,                0.80268,                0.87812,                0.66906,                0.85091,                 1.8839,                 1.0072,                 1.4961,             0.00018569,             0.00018569,             0.00018569
                     74,                0.43084,                 0.7656,                0.41842,                 1.0103,                0.88444,                0.76362,                0.84792,                0.66028,                0.89505,                0.77355,                0.86113,                0.65761,                0.83932,                 1.9777,                 1.1162,                 1.4553,              0.0001795,              0.0001795,              0.0001795
                     75,                0.42954,                0.74774,                0.41859,                  1.013,                0.89008,                 0.7831,                0.87505,                0.69084,                0.89903,                 0.7932,                0.88259,                 0.6813,                0.85903,                 1.9855,                 1.0651,                 1.4457,             0.00017331,             0.00017331,             0.00017331
                     76,                0.43053,                0.73119,                0.40933,                 1.0125,                0.89232,                0.75898,                0.84009,                0.67082,                0.90225,                0.76909,                0.85743,                0.65189,                0.87312,                 1.9301,                 1.2307,                 1.5014,             0.00016713,             0.00016713,             0.00016713
                     77,                0.42901,                0.75105,                  0.416,                 1.0105,                0.82984,                0.74978,                0.82074,                0.66052,                0.85416,                0.77504,                0.84634,                0.63851,                0.85351,                 1.9205,                 1.1977,                 1.5068,             0.00016094,             0.00016094,             0.00016094
                     78,                0.42336,                0.74336,                0.42256,                 1.0068,                0.85834,                0.75052,                0.82784,                0.64717,                0.87655,                0.76307,                0.83582,                0.63534,                0.87279,                 1.9657,                 1.3253,                 1.5423,             0.00015475,             0.00015475,             0.00015475
                     79,                 0.4157,                0.73507,                0.41261,                 1.0019,                0.88658,                0.78059,                0.84707,                0.67835,                0.89884,                0.78932,                0.85834,                0.66496,                0.82686,                 1.9725,                 1.1428,                 1.4583,             0.00014856,             0.00014856,             0.00014856
                     80,                0.41589,                0.73131,                0.41063,                 1.0039,                 0.8507,                0.78471,                0.83446,                0.65682,                0.86091,                0.79479,                0.84903,                0.64757,                0.87768,                 2.0181,                 1.1228,                 1.5367,             0.00014237,             0.00014237,             0.00014237
                     81,                0.40904,                0.73018,                0.39583,                 0.9961,                0.86243,                0.74847,                0.81486,                0.66606,                0.89089,                0.77272,                0.84839,                0.65905,                0.83318,                 2.0321,                 1.1277,                  1.452,             0.00013619,             0.00013619,             0.00013619
                     82,                0.42036,                0.74232,                0.40879,                0.99945,                0.85916,                0.76397,                0.85079,                0.66262,                 0.8691,                0.77407,                0.86216,                0.64986,                0.85652,                 1.9636,                  1.146,                 1.4716,                0.00013,                0.00013,                0.00013
                     83,                0.40574,                 0.7156,                0.38274,                 0.9959,                0.85862,                0.78959,                0.84224,                 0.6546,                0.86841,                0.79959,                0.85455,                0.64638,                0.88132,                 2.0833,                 1.2326,                  1.525,             0.00012381,             0.00012381,             0.00012381
                     84,                 0.4082,                0.70717,                 0.3905,                 1.0008,                0.89354,                0.77317,                0.81602,                  0.633,                0.88811,                 0.8077,                0.84541,                0.64483,                0.87613,                 2.0006,                 1.2166,                 1.5312,             0.00011763,             0.00011763,             0.00011763
                     85,                0.40918,                0.72042,                0.39423,                0.99497,                0.85314,                0.75275,                0.80779,                0.64053,                0.90045,                0.79294,                0.85879,                0.64751,                0.86442,                 2.0295,                 1.1444,                 1.4759,             0.00011144,             0.00011144,             0.00011144
                     86,                0.40966,                0.71526,                  0.393,                0.99418,                0.80798,                0.77473,                0.81527,                0.64565,                0.81765,                0.78483,                 0.8233,                0.63772,                 0.8145,                 2.0249,                 1.1847,                 1.4515,             0.00010525,             0.00010525,             0.00010525
                     87,                0.40071,                0.69978,                0.38725,                 0.9932,                0.84937,                0.78225,                 0.8151,                0.63791,                 0.8742,                0.80712,                 0.8479,                0.64535,                0.88227,                 1.9143,                 1.1669,                 1.5648,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.40092,                0.71577,                0.37531,                0.99251,                0.87884,                0.79698,                0.85068,                0.67019,                 0.9033,                0.82223,                0.88314,                0.66767,                0.82661,                 1.9778,                 1.0293,                 1.4799,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                 0.4044,                0.70885,                0.38627,                  0.999,                0.93273,                0.80995,                0.88272,                0.71184,                0.94268,                0.82005,                0.90465,                0.70164,                0.79618,                 1.8892,                0.89056,                 1.4482,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                 0.4056,                0.70434,                0.38478,                0.99308,                0.89522,                0.80086,                0.85426,                0.67405,                0.88556,                0.83553,                0.87685,                0.66598,                 0.8531,                 1.9361,                 1.0677,                 1.4831,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.33237,                0.54915,                0.36415,                 1.0035,                0.79491,                0.81212,                 0.8364,                0.64891,                0.80468,                0.82222,                0.84571,                0.64958,                 0.8681,                   2.11,                 1.0841,                 1.4717,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.31135,                 0.5372,                0.33154,                0.98914,                0.89917,                0.75875,                0.84349,                0.63706,                0.90932,                0.76856,                0.85013,                0.64927,                0.90688,                 2.1115,                 1.1555,                 1.5227,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.30401,                0.51245,                0.33197,                0.97684,                0.90566,                0.77996,                0.85176,                0.66232,                0.91772,                 0.7934,                0.86343,                0.65943,                0.88868,                 2.1927,                   1.07,                 1.5219,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.30111,                0.51002,                0.31681,                0.97698,                0.88352,                0.78019,                0.84485,                0.66249,                0.89339,                 0.7903,                0.85793,                0.64804,                0.89591,                 2.1564,                 1.0899,                 1.5402,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.29114,                0.49908,                0.31882,                0.97069,                0.88794,                0.78418,                0.84729,                0.66861,                0.89791,                0.79429,                0.85918,                0.64778,                0.89838,                 2.1364,                 1.1357,                 1.5478,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.29006,                0.49539,                0.30476,                0.97042,                0.78985,                0.79937,                 0.8379,                0.66531,                0.79945,                0.80947,                0.85196,                0.63945,                0.88241,                 2.2113,                 1.1191,                 1.5202,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.29206,                0.48596,                0.31385,                0.97409,                0.85361,                 0.7959,                0.83734,                0.66961,                0.86336,                  0.806,                0.85064,                0.65718,                0.87909,                 2.2441,                 1.1324,                 1.5145,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                0.28865,                0.48197,                 0.3115,                0.96496,                 0.8731,                0.78724,                0.84458,                 0.6722,                0.88283,                0.79734,                 0.8593,                0.65954,                0.84722,                 2.1697,                 1.0824,                 1.4639,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                 0.2892,                0.48162,                0.29575,                0.96682,                0.89619,                0.77532,                0.84444,                0.68169,                 0.9066,                0.78524,                0.85872,                0.65956,                0.84594,                 2.1876,                 1.0998,                 1.4687,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.26995,                0.46379,                0.28051,                0.94714,                0.88348,                0.77458,                0.83933,                0.67465,                0.89365,                0.78455,                 0.8541,                0.66383,                0.85066,                 2.1935,                 1.1364,                 1.4685,             1.8625e-05,             1.8625e-05,             1.8625e-05
